iter	Logloss
0	0.6900360834
1	0.6869459907
2	0.6839013549
3	0.680972249
4	0.678042546
5	0.675158431
6	0.6723418896
7	0.6696163233
8	0.6668635059
9	0.6641050022
10	0.661444042
11	0.658763364
12	0.6561687557
13	0.6535990953
14	0.6510482307
15	0.6486257656
16	0.6460782173
17	0.6436234543
18	0.6413241126
19	0.639025453
20	0.636713665
21	0.6344143499
22	0.6321527098
23	0.6299536823
24	0.6277491504
25	0.6257287573
26	0.6235586742
27	0.6214428424
28	0.6193109949
29	0.6172454459
30	0.615222656
31	0.6132533287
32	0.6113457178
33	0.6093764552
34	0.6074760277
35	0.6056281776
36	0.6038154147
37	0.6019813164
38	0.6001623723
39	0.598356193
40	0.5966105035
41	0.5949115549
42	0.59321979
43	0.5915721873
44	0.5899036326
45	0.5883229139
46	0.5866655322
47	0.5850794643
48	0.5835311377
49	0.5819796578
50	0.5804248754
51	0.5789249528
52	0.5774665832
53	0.5759875968
54	0.5745363395
55	0.5731389033
56	0.5717198408
57	0.5702872896
58	0.5689574105
59	0.5675873404
60	0.5662560539
61	0.5649422221
62	0.5636856638
63	0.5623957118
64	0.5611559515
65	0.5599287627
66	0.5587494653
67	0.5575635975
68	0.5563839523
69	0.5551871702
70	0.5540316391
71	0.5529638267
72	0.5518303416
73	0.550785924
74	0.5497061
75	0.5486448197
76	0.5476460387
77	0.5465722405
78	0.5455807676
79	0.5445713899
80	0.5435639163
81	0.5425974991
82	0.5417013986
83	0.5407141734
84	0.5397632835
85	0.5388212677
86	0.5379386524
87	0.5370206649
88	0.5361151023
89	0.5351708112
90	0.5342837795
91	0.5334026718
92	0.5325623389
93	0.5317220436
94	0.5308767215
95	0.530049248
96	0.529209807
97	0.5284490352
98	0.5276554384
99	0.5268881484
100	0.5261142152
101	0.5253395783
102	0.524593762
103	0.5238532788
104	0.523122938
105	0.5224460778
106	0.5217599309
107	0.5210777585
108	0.5203900592
109	0.5197205249
110	0.519068099
111	0.5184123317
112	0.5177898077
113	0.5171500108
114	0.5165155129
115	0.5158628045
116	0.5152305377
117	0.5146387056
118	0.5140038619
119	0.5133691054
120	0.5128329703
121	0.512259893
122	0.5117115514
123	0.5111244588
124	0.5105585231
125	0.5100133419
126	0.5094628443
127	0.5088941692
128	0.5083517607
129	0.5078464575
130	0.5073147486
131	0.5067826931
132	0.5062987399
133	0.5057875176
134	0.5052747323
135	0.5047868871
136	0.5043174644
137	0.5038112389
138	0.5033619401
139	0.5029304257
140	0.5024689333
141	0.5020250104
142	0.5015810178
143	0.5011451133
144	0.500686287
145	0.5002589025
146	0.4998478664
147	0.4994241643
148	0.4990242268
149	0.4986300719
150	0.4981869768
151	0.497828816
152	0.4974349188
153	0.497057778
154	0.4966805691
155	0.4963538909
156	0.4960012047
157	0.495660773
158	0.4952875466
159	0.4949528921
160	0.4945970456
161	0.4942572839
162	0.4939066262
163	0.4935773253
164	0.4932288841
165	0.4929050238
166	0.4925639253
167	0.4922448784
168	0.4919441799
169	0.4916076155
170	0.4913085088
171	0.4909966538
172	0.4907108336
173	0.4904321953
174	0.4901288229
175	0.4898441018
