iter	Passed	Remaining
0	148	147892
1	285	142221
2	309	102755
3	388	96617
4	413	82225
5	430	71318
6	492	69819
7	511	63438
8	533	58738
9	549	54427
10	564	50769
11	575	47376
12	591	44931
13	606	42741
14	623	40941
15	635	39090
16	648	37501
17	662	36141
18	675	34896
19	695	34075
20	716	33404
21	740	32903
22	755	32094
23	770	31340
24	830	32393
25	849	31825
26	863	31132
27	876	30436
28	889	29780
29	916	29641
30	926	28971
31	935	28289
32	948	27798
33	963	27385
34	982	27098
35	996	26673
36	1010	26288
37	1025	25967
38	1045	25763
39	1059	25416
40	1074	25122
41	1089	24844
42	1110	24715
43	1135	24665
44	1151	24444
45	1166	24202
46	1188	24108
47	1203	23864
48	1215	23597
49	1229	23352
50	1248	23228
51	1264	23044
52	1270	22703
53	1285	22520
54	1299	22324
55	1317	22203
56	1330	22017
57	1346	21868
58	1365	21772
59	1397	21889
60	1413	21751
61	1428	21613
62	1442	21457
63	1462	21389
64	1476	21236
65	1489	21078
66	1503	20943
67	1524	20897
68	1538	20752
69	1553	20645
70	1572	20570
71	1589	20480
72	1603	20361
73	1617	20234
74	1632	20129
75	1651	20079
76	1666	19972
77	1680	19868
78	1695	19764
79	1713	19703
80	1720	19525
81	1734	19423
82	1749	19326
83	1773	19339
84	1788	19254
85	1803	19162
86	1817	19069
87	1835	19026
88	1849	18931
89	1864	18852
90	1879	18774
91	1898	18735
92	1913	18657
93	1927	18581
94	1940	18483
95	1959	18455
96	1975	18392
97	1993	18343
98	2006	18261
99	2025	18231
100	2039	18155
101	2052	18066
102	2066	17997
103	2086	17976
104	2101	17908
105	2108	17780
106	2121	17706
107	2148	17746
108	2163	17686
109	2180	17639
110	2205	17660
111	2225	17647
112	2241	17597
113	2256	17538
114	2265	17435
115	2287	17429
116	2301	17372
117	2315	17308
118	2330	17251
119	2350	17234
120	2364	17173
121	2379	17122
122	2398	17098
123	2425	17132
124	2440	17085
125	2454	17023
126	2468	16971
127	2487	16944
128	2501	16889
129	2515	16835
130	2530	16787
131	2548	16759
132	2553	16648
133	2569	16605
134	2586	16570
135	2602	16536
136	2621	16516
137	2635	16465
138	2643	16372
139	2659	16335
140	2678	16317
141	2692	16269
142	2705	16216
143	2719	16168
144	2740	16160
145	2754	16114
146	2768	16066
147	2783	16022
148	2806	16030
149	2821	15986
150	2835	15944
151	2848	15893
152	2860	15837
153	2872	15782
154	2888	15745
155	2903	15708
156	2930	15733
157	2942	15679
158	2955	15634
159	2969	15588
160	2989	15580
161	3004	15540
162	3023	15526
163	3041	15505
164	3061	15492
165	3076	15454
166	3089	15410
167	3098	15344
168	3118	15333
169	3132	15295
170	3147	15257
171	3162	15224
172	3182	15212
173	3196	15176
174	3210	15137
175	3226	15107
176	3247	15100
177	3262	15066
178	3277	15031
179	3291	14994
180	3311	14982
181	3325	14947
182	3340	14913
183	3353	14873
184	3374	14864
185	3394	14854
186	3411	14830
187	3425	14794
188	3445	14786
189	3459	14748
190	3473	14713
191	3488	14680
192	3509	14673
193	3523	14637
194	3536	14600
195	3551	14567
196	3572	14561
197	3586	14526
198	3600	14491
199	3613	14455
200	3635	14451
201	3648	14412
202	3662	14379
203	3675	14341
204	3693	14325
205	3708	14292
206	3722	14260
207	3736	14228
208	3756	14215
209	3769	14181
210	3783	14148
211	3797	14115
212	3826	14136
213	3843	14115
214	3857	14085
215	3872	14056
216	3892	14046
217	3906	14013
218	3919	13977
219	3934	13950
220	3953	13936
221	3968	13906
222	3982	13874
223	3997	13848
224	4017	13837
225	4031	13808
226	4048	13785
227	4063	13757
228	4084	13750
229	4098	13719
230	4112	13690
231	4127	13662
232	4147	13651
233	4161	13623
234	4174	13590
235	4188	13560
236	4210	13554
237	4230	13544
238	4244	13514
239	4260	13492
240	4281	13485
241	4295	13454
242	4310	13428
243	4324	13399
244	4346	13394
245	4363	13375
246	4379	13351
247	4396	13330
248	4420	13331
249	4436	13308
250	4452	13285
251	4479	13296
252	4503	13295
253	4518	13271
254	4535	13251
255	4554	13235
256	4576	13230
257	4591	13206
258	4607	13182
259	4623	13158
260	4634	13122
261	4649	13096
262	4664	13072
263	4678	13044
264	4693	13017
265	4714	13009
266	4732	12991
267	4747	12966
268	4802	13050
269	4829	13056
270	4845	13033
271	4862	13014
272	4877	12988
273	4901	12986
274	4920	12971
275	4936	12950
276	4951	12924
277	4973	12916
278	4987	12889
279	5002	12864
280	5019	12842
281	5040	12834
282	5055	12808
283	5071	12785
284	5088	12764
285	5109	12755
286	5125	12733
287	5141	12710
288	5155	12683
289	5176	12672
290	5191	12649
291	5208	12627
292	5225	12609
293	5247	12601
294	5262	12577
295	5278	12555
296	5293	12530
297	5314	12519
298	5329	12494
299	5344	12470
300	5359	12445
301	5380	12434
302	5398	12418
303	5419	12407
304	5434	12383
305	5453	12368
306	5467	12341
307	5480	12314
308	5495	12289
309	5516	12279
310	5532	12255
311	5545	12229
312	5560	12205
313	5580	12192
314	5594	12166
315	5608	12140
316	5622	12114
317	5642	12101
318	5657	12077
319	5670	12049
320	5684	12023
321	5704	12011
322	5721	11991
